,ID,Count
0,18288,483.4661905644407
1,18289,385.8313137238395
2,18290,326.5321303417709
3,18291,269.8018336347585
4,18292,227.09301871266808
5,18293,203.28571109868574
6,18294,218.5873404240212
7,18295,253.50357937863242
8,18296,291.9251887794742
9,18297,377.23112789865166
10,18298,535.4367440675032
11,18299,593.6018370110852
12,18300,599.8908839881467
13,18301,530.5567185443197
14,18302,567.2943754758935
15,18303,560.1289858872752
16,18304,545.8325730869622
17,18305,558.548132548779
18,18306,572.2946833183111
19,18307,607.2624718383081
20,18308,583.5582633550961
21,18309,544.6898910542449
22,18310,546.6659577273649
23,18311,533.7442000040049
24,18312,368.43973720277614
25,18313,294.0341860659345
26,18314,248.84348614104186
27,18315,205.61048243138285
28,18316,173.06296441824975
29,18317,154.91990016269006
30,18318,166.58096022734298
31,18319,193.18991480496737
32,18320,222.47024080672327
33,18321,287.48015960623957
34,18322,408.04543755711967
35,18323,452.3718702565577
36,18324,457.16462487044134
37,18325,404.32646949607386
38,18326,432.32348961760954
39,18327,426.86289214769374
40,18328,415.96788712378464
41,18329,425.65815601524207
42,18330,436.1341223843857
43,18331,462.78236183589433
44,18332,444.7178673281024
45,18333,415.0970724193496
46,18334,416.6029925849138
47,18335,406.755584197919
48,18336,362.78436494520275
49,18337,289.52090313049405
50,18338,245.02385865274687
51,18339,202.45446069757958
52,18340,170.40653138739643
53,18341,152.54195441726705
54,18342,164.02402283437343
55,18343,190.22454279345257
56,18344,219.05542991377774
57,18345,283.06747781577053
58,18346,401.78213690201176
59,18347,445.42818023935547
60,18348,450.14736838159166
61,18349,398.12025320694374
62,18350,425.68753257333685
63,18351,420.3107526407897
64,18352,409.58298068904094
65,18353,419.12450862689434
66,18354,429.4396739651146
67,18355,455.6788757942121
68,18356,437.8916625641185
69,18357,408.7255325703014
70,18358,410.2083375876704
71,18359,400.5120821697436
72,18360,511.7259299328301
73,18361,408.38406421352585
74,18362,345.6187036719352
75,18363,285.57238729173764
76,18364,240.36714138442787
77,18365,215.16824047733695
78,18366,231.36428613433114
79,18367,268.3214616256415
